"","X10","X30","X50","X70","X90","X0.9","X1","X1.1","X1.2","X1.3","DelayRising","DelayFalling","WorstCase","expectedDelayEucl","resultDelayEucl","abs(errorEucl)"
"1",1,1,3,1,4,1,1,3,1,4,2.18501e-10,2.03531e-10,2.18501e-10,2.18501e-10,1.32998e-10,39.1316286881982
"2",1,0,3,2,4,1,0,3,2,4,2.06155e-10,1.91296e-10,2.06155e-10,2.06155e-10,2.18501e-10,5.98869782445248
"3",2,1,1,4,2,2,1,1,4,2,2.07253e-10,1.92268e-10,2.07253e-10,2.07253e-10,2.15658e-10,4.05542983696254
"4",2,1,3,1,3,2,1,3,1,3,1.92764e-10,1.78512e-10,1.92764e-10,1.92764e-10,2.18501e-10,13.3515594198087
"5",1,2,2,3,2,1,2,2,3,2,1.98341e-10,1.83662e-10,1.98341e-10,1.98341e-10,1.97774e-10,0.285871302453855
"6",3,1,2,1,3,3,1,2,1,3,1.9147e-10,1.77049e-10,1.9147e-10,1.9147e-10,1.9147e-10,0
"7",3,1,2,1,3,3,1,2,1,3,1.98026e-10,1.83307e-10,1.98026e-10,1.98026e-10,1.9147e-10,3.31067637582944
"8",3,2,1,1,3,3,2,1,1,3,1.98026e-10,1.83307e-10,1.98026e-10,1.98026e-10,2.19098e-10,10.6410269358569
"9",3,1,2,1,3,3,1,2,1,3,1.97774e-10,1.83073e-10,1.97774e-10,1.97774e-10,1.9147e-10,3.18747661472184
"10",2,0,3,2,3,2,0,3,2,3,1.98026e-10,1.83307e-10,1.98026e-10,1.98026e-10,2.06155e-10,4.10501651298314
"11",2,1,3,2,2,2,1,3,2,2,1.99866e-10,1.8529e-10,1.99866e-10,1.99866e-10,1.92764e-10,3.55338076511262
"12",2,1,1,2,4,2,1,1,2,4,1.89819e-10,1.75322e-10,1.89819e-10,1.89819e-10,2.15574e-10,13.568188642865
"13",1,1,1,0,7,1,1,1,0,7,2.07001e-10,1.92054e-10,2.07001e-10,2.07001e-10,2.05717e-10,0.620286858517594
"14",0,1,1,1,7,0,1,1,1,7,2.18424e-10,2.03432e-10,2.18424e-10,2.18424e-10,2.00972e-10,7.98996447276856
"15",1,3,2,0,4,1,3,2,0,4,2.18828e-10,2.0403e-10,2.18828e-10,2.18828e-10,2.1913e-10,0.138007933171269
