"","X10","X30","X50","X70","X90","X0.9","X1.0","X1.1","X1.2","X1.3","DelayRising","DelayFalling","WorstCase","expectedDelayCor","resultDelayCor","abs(errorCor)"
"47",16,0,0,40,44,16,0,0,40,44,2.4988e-11,2.31771e-11,2.4988e-11,2.4988e-11,2.45617e-11,1.70601888906676
"48",0,0,0,100,0,0,0,0,100,0,2.2764e-11,1.74439e-11,2.2764e-11,2.2764e-11,2.12347e-11,6.71806360920753
"49",34,0,28,0,38,34,0,28,0,38,2.42534e-11,2.25764e-11,2.42534e-11,2.42534e-11,2.42322e-11,0.0874104249301011
"50",30,42,19,0,9,30,42,19,0,9,1.98036e-11,1.88541e-11,1.98036e-11,1.98036e-11,1.53707e-11,22.3843139631178
"51",10,2,60,21,7,10,2,60,21,7,2.0673e-11,1.9625e-11,2.0673e-11,2.0673e-11,1.98149e-11,4.15082474725489
"52",38,28,10,23,1,38,28,10,23,1,1.83915e-11,1.76561e-11,1.83915e-11,1.83915e-11,1.78243e-11,3.08403338498763
"53",5,33,7,17,38,5,33,7,17,38,2.44575e-11,2.2753e-11,2.44575e-11,2.44575e-11,2.63267e-11,7.64264540529489
"54",20,6,42,5,27,20,6,42,5,27,2.33863e-11,2.18636e-11,2.33863e-11,2.33863e-11,2.41599e-11,3.30791959395031
"57",0,27,37,36,0,0,27,37,36,0,1.99292e-11,1.76446e-11,1.99292e-11,1.99292e-11,1.94471e-11,2.41906348473596
"58",0,12,1,87,0,0,12,1,87,0,2.11726e-11,1.87935e-11,2.11726e-11,2.11726e-11,2.24583e-11,6.07247102387047
"59",37,7,15,9,32,37,7,15,9,32,2.38792e-11,2.22628e-11,2.38792e-11,2.38792e-11,2.43408e-11,1.93306308419043
"60",34,6,14,12,34,34,6,14,12,34,2.40916e-11,2.2445e-11,2.40916e-11,2.40916e-11,2.38792e-11,0.881635092729416
"61",43,15,15,0,27,43,15,15,0,27,2.31743e-11,2.16935e-11,2.31743e-11,2.31743e-11,2.21727e-11,4.32202914435387
"64",21,0,30,30,19,21,0,30,30,19,2.29272e-11,2.15002e-11,2.29272e-11,2.29272e-11,2.26636e-11,1.14972608953557
"65",25,19,7,26,23,25,19,7,26,23,2.32683e-11,2.17811e-11,2.32683e-11,2.32683e-11,2.31545e-11,0.489077414336236
"66",0,38,44,18,0,0,38,44,18,0,1.85684e-11,1.65498e-11,1.85684e-11,1.85684e-11,2.00099e-11,7.76318907391051
"67",14,25,6,9,46,14,25,6,9,46,2.48686e-11,2.30791e-11,2.48686e-11,2.48686e-11,2.52742e-11,1.6309723908865
"69",0,77,23,0,0,0,77,23,0,0,1.44687e-11,1.32311e-11,1.44687e-11,1.44687e-11,1.43385e-11,0.899873520081274
"70",11,0,21,35,33,11,0,21,35,33,2.43003e-11,2.26291e-11,2.43003e-11,2.43003e-11,2.45116e-11,0.869536590083242
"71",21,51,16,0,12,21,51,16,0,12,2.06394e-11,1.95619e-11,2.06394e-11,2.06394e-11,1.35989e-11,34.1119412386019
"72",56,0,0,44,0,56,0,0,44,0,1.92353e-11,1.84063e-11,1.92353e-11,1.92353e-11,1.92886e-11,0.277094716484783
"73",16,4,35,23,22,16,4,35,23,22,2.31744e-11,2.16985e-11,2.31744e-11,2.31744e-11,2.26636e-11,2.20415631041149
"74",0,49,26,18,7,0,49,26,18,7,2.11606e-11,1.86719e-11,2.11606e-11,2.11606e-11,1.6987e-11,19.7234482954169
"75",12,41,27,1,19,12,41,27,1,19,2.22064e-11,2.08435e-11,2.22064e-11,2.22064e-11,2.16984e-11,2.28762879169968
"76",39,11,18,15,17,39,11,18,15,17,2.22863e-11,2.09255e-11,2.22863e-11,2.22863e-11,1.97058e-11,11.5788623504126
"77",42,5,0,53,0,42,5,0,53,0,1.96175e-11,1.87886e-11,1.96175e-11,1.96175e-11,1.97603e-11,0.727921498661899
"78",48,0,0,22,30,48,0,0,22,30,2.38677e-11,2.22522e-11,2.38677e-11,2.38677e-11,2.3993e-11,0.524977270537152
"79",46,29,0,25,0,46,29,0,25,0,1.78243e-11,1.72006e-11,1.78243e-11,1.78243e-11,1.83915e-11,3.18217265194145
"80",0,0,81,19,0,0,0,81,19,0,1.96264e-11,1.60905e-11,1.96264e-11,1.96264e-11,1.98149e-11,0.960441038601068
"82",0,49,51,0,0,0,49,51,0,0,1.57316e-11,1.42734e-11,1.57316e-11,1.57316e-11,1.6217e-11,3.08550942052939
"83",40,0,0,15,45,40,0,0,15,45,2.48586e-11,2.30663e-11,2.48586e-11,2.48586e-11,2.43606e-11,2.00333083922667
"84",17,0,83,0,0,17,0,83,0,0,1.55494e-11,1.54556e-11,1.55494e-11,1.55494e-11,1.54414e-11,0.694560561822311
"85",15,0,0,54,31,15,0,0,54,31,2.42394e-11,2.2602e-11,2.42394e-11,2.42394e-11,2.36884e-11,2.27315857653242
"86",32,53,0,0,15,32,53,0,0,15,2.12456e-11,2.00075e-11,2.12456e-11,2.12456e-11,1.98539e-11,6.55053281620666
"87",28,14,33,19,6,28,14,33,19,6,2.02063e-11,1.92057e-11,2.02063e-11,2.02063e-11,2.00347e-11,0.849240088487258
"89",0,37,0,0,63,0,37,0,0,63,2.63267e-11,2.29231e-11,2.63267e-11,2.63267e-11,2.45945e-11,6.57963208453776
"90",0,0,73,27,0,0,0,73,27,0,2.02478e-11,1.65719e-11,2.02478e-11,2.02478e-11,1.98149e-11,2.13801005541344
"91",0,11,31,21,37,0,11,31,21,37,2.5227e-11,2.20514e-11,2.5227e-11,2.5227e-11,2.55173e-11,1.15075117929204
"92",21,22,36,0,21,21,22,36,0,21,2.25084e-11,2.10951e-11,2.25084e-11,2.25084e-11,2.17659e-11,3.298768459775
"93",23,3,0,37,37,23,3,0,37,37,2.45617e-11,2.28395e-11,2.45617e-11,2.45617e-11,2.4988e-11,1.73562904847793
"94",37,0,0,57,6,37,0,0,57,6,2.13047e-11,2.01697e-11,2.13047e-11,2.13047e-11,1.97603e-11,7.24910465765769
"95",23,40,37,0,0,23,40,37,0,0,1.4443e-11,1.45159e-11,1.45159e-11,1.45159e-11,1.96275e-11,35.2138000399562
"96",23,39,17,0,21,23,39,17,0,21,2.24187e-11,2.10349e-11,2.24187e-11,2.24187e-11,2.06394e-11,7.93667786267716
"97",22,0,0,15,63,22,0,0,15,63,2.56621e-11,2.37109e-11,2.56621e-11,2.56621e-11,2.55122e-11,0.584129903632202
"98",13,9,23,50,5,13,9,23,50,5,2.1057e-11,1.99517e-11,2.1057e-11,2.1057e-11,2.30585e-11,9.50515268081873
"99",0,63,0,37,0,0,63,0,37,0,1.96546e-11,1.74009e-11,1.96546e-11,1.96546e-11,2.22631e-11,13.2717022986985
"100",0,52,17,30,1,0,52,17,30,1,1.98282e-11,1.75346e-11,1.98282e-11,1.98282e-11,1.98175e-11,0.0539635468675859
"101",30,21,10,23,16,30,21,10,23,16,2.2315e-11,2.09615e-11,2.2315e-11,2.2315e-11,2.23552e-11,0.180147882590176
"102",0,20,30,27,23,0,20,30,27,23,2.40975e-11,2.11284e-11,2.40975e-11,2.40975e-11,2.43204e-11,0.924992219109866
"103",0,14,23,35,28,0,14,23,35,28,2.46687e-11,2.15937e-11,2.46687e-11,2.46687e-11,2.38726e-11,3.22716640925546
"104",31,15,52,2,0,31,15,52,2,0,1.54922e-11,1.53537e-11,1.54922e-11,1.54922e-11,1.5212e-11,1.80865209589341
"105",0,83,0,0,17,0,83,0,0,17,2.2442e-11,1.96638e-11,2.2442e-11,2.2442e-11,2.12278e-11,5.4103912307281
"106",0,25,46,0,29,0,25,46,0,29,2.42637e-11,2.12349e-11,2.42637e-11,2.42637e-11,2.33847e-11,3.62269563174619
"108",0,7,56,37,0,0,7,56,37,0,2.00465e-11,1.77434e-11,2.00465e-11,2.00465e-11,2.03269e-11,1.39874791110668
"110",16,26,39,19,0,16,26,39,19,0,1.78843e-11,1.72757e-11,1.78843e-11,1.78843e-11,2.00099e-11,11.8852848587867
"111",33,37,0,1,29,33,37,0,1,29,2.33657e-11,2.18406e-11,2.33657e-11,2.33657e-11,2.38356e-11,2.01106750493245
"112",88,12,0,0,0,88,12,0,0,0,9.03592e-12,1.00654e-11,1.00654e-11,1.00654e-11,9.11427e-12,9.44950026824568
"113",11,37,6,26,20,11,37,6,26,20,2.29236e-11,2.14853e-11,2.29236e-11,2.29236e-11,2.35684e-11,2.81282172084663
"114",0,65,0,18,17,0,65,0,18,17,2.30554e-11,2.02251e-11,2.30554e-11,2.30554e-11,2.42086e-11,5.00186507282459
"115",0,49,49,2,0,0,49,49,2,0,1.6217e-11,1.46416e-11,1.6217e-11,1.6217e-11,1.57316e-11,2.99315533082568
"116",21,12,26,21,20,21,12,26,21,20,2.28831e-11,2.14403e-11,2.28831e-11,2.28831e-11,2.31744e-11,1.27299185862055
"117",10,65,4,21,0,10,65,4,21,0,1.75336e-11,1.69631e-11,1.75336e-11,1.75336e-11,1.65572e-11,5.56873659716202
"118",27,0,61,0,12,27,0,61,0,12,2.09472e-11,1.9811e-11,2.09472e-11,2.09472e-11,1.54414e-11,26.2841811793462
"119",0,81,10,9,0,0,81,10,9,0,1.65572e-11,1.48472e-11,1.65572e-11,1.65572e-11,1.24955e-11,24.5313217210639
"120",49,0,24,0,27,49,0,24,0,27,2.32178e-11,2.17066e-11,2.32178e-11,2.32178e-11,2.3093e-11,0.537518627949252
"121",28,10,62,0,0,28,10,62,0,0,1.5212e-11,1.51696e-11,1.5212e-11,1.5212e-11,1.54922e-11,1.8419668682619
"122",0,52,41,7,0,0,52,41,7,0,1.71027e-11,1.53011e-11,1.71027e-11,1.71027e-11,1.6217e-11,5.17871447198395
"123",29,34,0,32,5,29,34,0,32,5,2.03037e-11,1.93014e-11,2.03037e-11,2.03037e-11,2.14766e-11,5.77677960174747
"124",90,0,0,0,10,90,0,0,0,10,1.97058e-11,1.87847e-11,1.97058e-11,1.97058e-11,2.06069e-11,4.57276537872098
"125",20,32,30,18,0,20,32,30,18,0,1.76593e-11,1.70755e-11,1.76593e-11,1.76593e-11,2.05892e-11,16.5912578641283
"128",27,16,10,20,27,27,16,10,20,27,2.35978e-11,2.2037e-11,2.35978e-11,2.35978e-11,2.43606e-11,3.23250472501675
"129",0,2,47,34,17,0,2,47,34,17,2.35276e-11,2.06493e-11,2.35276e-11,2.35276e-11,2.00465e-11,14.7958142776994
"131",0,66,0,0,34,0,66,0,0,34,2.4604e-11,2.15204e-11,2.4604e-11,2.4604e-11,2.53099e-11,2.86904568362869
"132",43,6,12,39,0,43,6,12,39,0,1.91008e-11,1.82983e-11,1.91008e-11,1.91008e-11,1.92886e-11,0.98320489194168
"133",27,21,15,0,37,27,21,15,0,37,2.41495e-11,2.24851e-11,2.41495e-11,2.41495e-11,2.41263e-11,0.0960682415784953
"134",54,46,0,0,0,54,46,0,0,0,1.05641e-11,1.13222e-11,1.13222e-11,1.13222e-11,1.17153e-11,3.47194008231617
"135",0,88,0,0,12,0,88,0,0,12,2.12278e-11,1.86999e-11,2.12278e-11,2.12278e-11,2.2442e-11,5.71985792215868
"136",27,19,17,37,0,27,19,17,37,0,1.90561e-11,1.82563e-11,1.90561e-11,1.90561e-11,1.9051e-11,0.0267630837369692
"137",18,41,33,0,8,18,41,33,0,8,1.96275e-11,1.87281e-11,1.96275e-11,1.96275e-11,1.45159e-11,26.0430518405299
"139",37,7,16,2,38,37,7,16,2,38,2.42584e-11,2.25812e-11,2.42584e-11,2.42584e-11,2.42322e-11,0.108003825479008
"140",0,0,40,60,0,0,0,40,60,0,2.15404e-11,1.77336e-11,2.15404e-11,2.15404e-11,2.14414e-11,0.459601493008488
"141",6,0,31,0,63,6,0,31,0,63,2.55968e-11,2.36563e-11,2.55968e-11,2.55968e-11,2.50801e-11,2.01861170146268
"142",0,39,27,34,0,0,39,27,34,0,1.97458e-11,1.74839e-11,1.97458e-11,1.97458e-11,1.94471e-11,1.51272675708251
"143",16,28,0,0,56,16,28,0,0,56,2.52742e-11,2.34004e-11,2.52742e-11,2.52742e-11,2.48686e-11,1.60479856929201
"144",30,8,27,35,0,30,8,27,35,0,1.90257e-11,1.82259e-11,1.90257e-11,1.90257e-11,1.9051e-11,0.132978024461639
