"","X40","X70","X100","X1.0","X1.1","X1.2","WorstCase","expectedDelayPLS","resultDelayPLS","abs(errorPLS)"
"1",4,4,2,4,4,2,2.43639e-12,2.43639e-12,2.3827764674811e-12,2.20053162748572
"2",1,5,4,1,5,4,2.59624e-12,2.59624e-12,2.63655367130103e-12,1.55277136555305
"3",1,0,9,1,0,9,2.73038e-12,2.73038e-12,2.96662779778783e-12,8.65256110093957
"4",7,0,3,7,0,3,2.47637e-12,2.47637e-12,2.32765859958523e-12,6.00521733080173
"5",6,4,0,6,4,0,2.06742e-12,2.06742e-12,2.08419888565278e-12,0.811585727756481
"6",4,6,0,4,6,0,2.13203e-12,2.13203e-12,2.19231133679495e-12,2.82741503613693
"7",3,0,7,3,0,7,2.69257e-12,2.69257e-12,2.84803027300116e-12,5.77367619044871
"8",0,0,10,0,0,10,3.41486e-12,3.41486e-12,3.2809809624861e-12,3.92048392947011
"9",0,10,0,0,10,0,2.20094e-12,2.20094e-12,2.28424067926597e-12,3.78477737993641
"11",5,0,5,5,0,5,2.61621e-12,2.61621e-12,2.6463201768514e-12,1.15090825474258
"12",2,8,0,2,8,0,2.16834e-12,2.16834e-12,2.12607866461495e-12,1.9490179300777
"16",0,9,1,0,9,1,2.45393e-12,2.45393e-12,2.48321818744533e-12,1.19352171599556
"17",5,2,3,5,2,3,2.50697e-12,2.50697e-12,2.41720955165128e-12,3.58043567927508
"18",10,0,0,10,0,0,1.73255e-12,1.73255e-12,1.99873282586007e-12,15.3636446775028
"20",0,6,4,0,6,4,2.80591e-12,2.80591e-12,2.75275767677877e-12,1.89429893407946
"21",0,8,2,0,8,2,2.61252e-12,2.61252e-12,2.4496810281977e-12,6.23302297407495
"24",0,4,6,0,4,6,2.91859e-12,2.91859e-12,2.85000113760494e-12,2.35006843698696
"27",4,5,1,4,5,1,2.31958e-12,2.31958e-12,2.28472643527828e-12,1.50258084315767
"32",2,3,5,2,3,5,2.6372e-12,2.6372e-12,2.6995231514883e-12,2.36323189323133
"33",3,2,5,3,2,5,2.63205e-12,2.63205e-12,2.68258992406944e-12,1.92017340359951
"34",5,3,2,5,3,2,2.42292e-12,2.42292e-12,2.32954859086885e-12,3.8536728051753
"35",6,0,4,6,0,4,2.55717e-12,2.55717e-12,2.42842032335227e-12,5.03485011351322
"38",7,3,0,7,3,0,2.01978e-12,2.01978e-12,2.1237785044211e-12,5.14900159527749
"43",0,1,9,0,1,9,2.99646e-12,2.99646e-12,3.02714730603723e-12,1.02411866126133
"50",8,2,0,8,2,0,1.955e-12,1.955e-12,1.96315986915399e-12,0.417384611457239
"53",8,0,2,8,0,2,2.36084e-12,2.36084e-12,2.18511306427288e-12,7.44340725026337
"57",6,1,3,6,1,3,2.49297e-12,2.49297e-12,2.33812854432577e-12,6.21112390739691
"59",1,9,0,1,9,0,2.17816e-12,2.17816e-12,2.24311101905152e-12,2.98192139473308
"65",4,1,5,4,1,5,2.62532e-12,2.62532e-12,2.64709519757447e-12,0.829430224676275
"68",2,4,4,2,4,4,2.59246e-12,2.59246e-12,2.60710805300496e-12,0.565025227195948
"78",0,5,5,0,5,5,2.86987e-12,2.86987e-12,2.78907410355435e-12,2.81531555246928
"80",3,7,0,3,7,0,2.15316e-12,2.15316e-12,2.17858484873989e-12,1.18081557988694
"90",5,5,0,5,5,0,2.10407e-12,2.10407e-12,2.15118167658049e-12,2.23907363255476
"91",0,3,7,0,3,7,2.95374e-12,2.95374e-12,3.01666223239273e-12,2.13025629854784
"93",4,0,6,4,0,6,2.66026e-12,2.66026e-12,2.67089923347284e-12,0.399932092082578
