"","Mean Absolute Error (s)","Mean Average Error (%)","Max Error (%)","MSE (s)","RMS Error","RMS","NRMSE"
"Dist. Euclid.",9.70033195488722e-13,5.81349462610664,116.208209763371,3.52310942227224e-24,1.71878292605061e-12,14.4370770138338,0.088429359116268
"Correlação",1.22536187969925e-12,6.9455128240488,116.208209763371,5.24793717798659e-24,2.14451331152315e-12,14.707955708849,0.10792640854702
"PLS-R",1.32336740782902e-12,7.45828424411379,75.6084378500825,3.2741475345838e-24,1.76057281004455e-12,12.2050639406497,0.0852476732278517
