"","X10","X30","X50","X70","X90","X0.9","X1.0","X1.1","X1.2","X1.3","WorstCase","expectedDelayEucl","resultDelayEucl","abs(errorEucl)"
"281",63,6,0,14,17,63,6,0,14,17,2.00462e-12,2.00462e-12,2.0301e-12,1.27106384252378
"282",87,0,0,0,13,87,0,0,0,13,1.96993e-12,1.96993e-12,1.94828e-12,1.09902382318153
"283",55,0,0,45,0,55,0,0,45,0,1.91311e-12,1.91311e-12,1.91203e-12,0.0564525824442996
"284",0,0,63,0,37,0,0,63,0,37,2.04873e-12,2.04873e-12,2.10026e-12,2.51521674403168
"287",0,13,29,58,0,0,13,29,58,0,1.1275e-12,1.1275e-12,1.74506e-12,54.7725055432373
"288",1,0,0,16,83,1,0,0,16,83,2.13619e-12,2.13619e-12,2.13092e-12,0.246700902073316
"290",0,57,0,0,43,0,57,0,0,43,1.28425e-12,1.28425e-12,1.26106e-12,1.80572318473816
"292",11,25,64,0,0,11,25,64,0,0,1.82297e-12,1.82297e-12,1.02205e-12,43.9348974475718
"293",27,18,0,55,0,27,18,0,55,0,1.92277e-12,1.92277e-12,1.93545e-12,0.659465250654012
"294",45,4,34,17,0,45,4,34,17,0,1.87436e-12,1.87436e-12,1.8784e-12,0.215540237734491
"295",52,0,8,0,40,52,0,8,0,40,2.07639e-12,2.07639e-12,2.0719e-12,0.216240686961489
"296",28,0,5,24,43,28,0,5,24,43,2.09005e-12,2.09005e-12,2.08176e-12,0.396641228678751
"298",38,14,0,48,0,38,14,0,48,0,1.91643e-12,1.91643e-12,1.92098e-12,0.237420620633166
