"","X10","X30","X50","X70","X90","X0.9","X1.0","X1.1","X1.2","X1.3","WorstCase","expectedDelayEucl","resultDelayEucl","abs(errorEucl)"
"67",14,25,6,9,46,14,25,6,9,46,2.09256e-12,2.09256e-12,2.09627e-12,0.177294796803906
"69",0,77,23,0,0,0,77,23,0,0,9.97491e-13,9.97491e-13,9.9555e-13,0.194588221848624
"70",11,0,21,35,33,11,0,21,35,33,2.06984e-12,2.06984e-12,2.07733e-12,0.361863718934807
"71",21,51,16,0,12,21,51,16,0,12,1.96614e-12,1.96614e-12,1.94423e-12,1.11436622010639
"72",56,0,0,44,0,56,0,0,44,0,1.91203e-12,1.91203e-12,1.91311e-12,0.0564844693859534
"73",16,4,35,23,22,16,4,35,23,22,2.03255e-12,2.03255e-12,2.01515e-12,0.85606750141447
"74",0,49,26,18,7,0,49,26,18,7,1.15067e-12,1.15067e-12,1.87947e-12,63.3370123493269
"75",12,41,27,1,19,12,41,27,1,19,2.00709e-12,2.00709e-12,1.99122e-12,0.790696979208705
"76",39,11,18,15,17,39,11,18,15,17,2.00674e-12,2.00674e-12,2.03168e-12,1.24281172448848
"77",42,5,0,53,0,42,5,0,53,0,1.92098e-12,1.92098e-12,1.92414e-12,0.164499370113158
"78",48,0,0,22,30,48,0,0,22,30,2.0574e-12,2.0574e-12,2.06311e-12,0.277534752600372
"79",46,29,0,25,0,46,29,0,25,0,1.88418e-12,1.88418e-12,1.89661e-12,0.659703425362745
"80",0,0,81,19,0,0,0,81,19,0,1.59133e-12,1.59133e-12,1.60391e-12,0.79053370451132
"82",0,49,51,0,0,0,49,51,0,0,1.01557e-12,1.01557e-12,1.02631e-12,1.05753419262089
"83",40,0,0,15,45,40,0,0,15,45,2.09192e-12,2.09192e-12,2.07469e-12,0.823645263681205
"84",17,0,83,0,0,17,0,83,0,0,1.82658e-12,1.82658e-12,1.8252e-12,0.075551029793397
"85",15,0,0,54,31,15,0,0,54,31,2.06743e-12,2.06743e-12,2.09962e-12,1.55700555762468
"86",32,53,0,0,15,32,53,0,0,15,1.98291e-12,1.98291e-12,1.94928e-12,1.6959922538088
"87",28,14,33,19,6,28,14,33,19,6,1.94438e-12,1.94438e-12,1.93854e-12,0.300352811693183
"88",0,63,0,37,0,0,63,0,37,0,1.10379e-12,1.10379e-12,1.8773e-12,70.0776415803731
"89",0,37,0,0,63,0,37,0,0,63,1.31875e-12,1.31875e-12,2.1077e-12,59.8255924170616
"90",0,0,73,27,0,0,0,73,27,0,1.63705e-12,1.63705e-12,1.60391e-12,2.02437311016768
"91",0,11,31,21,37,0,11,31,21,37,1.27779e-12,1.27779e-12,1.2877e-12,0.775557799012372
"92",21,22,36,0,21,21,22,36,0,21,2.01591e-12,2.01591e-12,1.98949e-12,1.31057438080074
"93",23,3,0,37,37,23,3,0,37,37,2.07954e-12,2.07954e-12,2.09435e-12,0.712176731392522
"94",37,0,0,57,6,37,0,0,57,6,1.96999e-12,1.96999e-12,1.99328e-12,1.18223950375382
"95",23,40,37,0,0,23,40,37,0,0,1.81168e-12,1.81168e-12,1.93775e-12,6.95873443433719
"96",23,39,17,0,21,23,39,17,0,21,2.01479e-12,2.01479e-12,1.94423e-12,3.50210195603512
"97",22,0,0,15,63,22,0,0,15,63,2.11997e-12,2.11997e-12,2.11426e-12,0.269343434105196
"98",13,9,23,50,5,13,9,23,50,5,1.96108e-12,1.96108e-12,1.91901e-12,2.14524649682828
