"","Mean Absolute Error (s)","Mean Average Error (%)","Max Error (%)","MSE (s)","RMS Error","RMS","NRMSE"
"Dist. Euclid.",1.6712962962963e-11,9.12905931983039,64.2889366757395,8.76843630822752e-22,2.70025604410095e-11,16.3192072208829,0.148872362914967
"Correlação",1.9795962962963e-11,10.2574119337022,64.2889366757395,9.99359329584656e-22,2.99625603570214e-11,17.1610317496556,0.158932912232008
"PLS",1.11290900733417e-11,5.47591915819504,49.2542227392923,2.29416541852681e-22,1.64534953826353e-11,9.7402335175062,0.0761492044056387
