"","Mean Absolute Error (s)","Mean Average Error (%)","Max Error (%)","MSE (s)","RMS Error","RMS"
"Eucl. Dist.",6.45467428571429e-13,5.95605966195217,20.7304903776631,8.845842998027e-25,8.2001027660111e-13,7.56081723676662
"Correl.",1.13067457142857e-12,8.78494653642364,39.3249209091981,2.20630759951302e-24,1.54111679137566e-12,12.3117688977069
"PLS",6.38115979013679e-13,5.2761491330367,28.3593975731313,7.34911322657044e-25,8.0478660503727e-13,7.47347551325187
