"","X40","X70","X100","X1.0","X1.1","X1.2","WorstCase","expectedDelayCor","resultDelayCor","abs(errorCor)"
"1",3,0,0,3,0,0,9.11049e-13,9.11049e-13,9.11049e-13,0
"2",0,3,0,3,0,0,9.2044e-13,9.2044e-13,9.11049e-13,1.02027291295468
"3",0,0,3,3,0,0,9.31136e-13,9.31136e-13,9.11049e-13,2.15725737164064
"4",3,0,0,0,3,0,6.86533e-13,6.86533e-13,9.11049e-13,32.7028708015492
"5",0,3,0,0,3,0,8.13257e-13,8.13257e-13,9.2044e-13,13.1794746310207
"6",0,0,3,0,3,0,9.47997e-13,9.47997e-13,9.31136e-13,1.77859212634641
"7",3,0,0,0,0,3,1.75948e-12,1.75948e-12,9.11049e-13,48.2205537999864
"8",0,3,0,0,0,3,1.93468e-12,1.93468e-12,9.2044e-13,52.4241735067298
"9",0,0,3,0,0,3,2.10884e-12,2.10884e-12,9.31136e-13,55.8460575482256
