"","X10","X30","X50","X70","X90","X0.9","X1.0","X1.1","X1.2","X1.3","WorstCase","expectedDelayPLS","resultDelayPLS","abs(errorPLS)"
"1",37,56,1,6,0,37,56,1,6,0,3.38801e-12,3.38801e-12,3.46706457243603e-12,2.33336301947238
"2",70,0,7,0,23,70,0,7,0,23,4.40837e-12,4.40837e-12,4.44659035488212e-12,0.866995167876583
"3",47,0,0,42,11,47,0,0,42,11,4.33056e-12,4.33056e-12,4.38965688228286e-12,1.36464758097945
"4",13,33,5,7,42,13,33,5,7,42,4.68147e-12,4.68147e-12,4.35321159610676e-12,7.01186601416297
"5",0,0,0,87,13,0,0,0,87,13,4.65318e-12,4.65318e-12,4.49828535550779e-12,3.32879115985656
"6",0,0,45,55,0,0,0,45,55,0,3.81129e-12,3.81129e-12,3.92668235507019e-12,3.02764562838793
"7",0,12,33,28,27,0,12,33,28,27,3.99037e-12,3.99037e-12,4.22304183228418e-12,5.8308335388493
"8",8,0,79,13,0,8,0,79,13,0,3.76791e-12,3.76791e-12,3.61113603468019e-12,4.16076725080496
"9",37,0,17,23,23,37,0,17,23,23,4.5047e-12,4.5047e-12,4.41553422124186e-12,1.97939438271459
"10",0,0,79,0,21,0,0,79,0,21,4.19668e-12,4.19668e-12,3.90370356635927e-12,6.98114780351917
"11",0,6,0,74,20,0,6,0,74,20,3.94052e-12,3.94052e-12,4.50701499247574e-12,14.3761481346558
"12",100,0,0,0,0,100,0,0,0,0,2.52401e-12,2.52401e-12,4.15115076428529e-12,64.4664943595821
"13",27,4,11,29,29,27,4,11,29,29,4.595e-12,4.595e-12,4.50972834110074e-12,1.85574883349854
"14",0,15,32,28,25,0,15,32,28,25,3.95775e-12,3.95775e-12,4.16331139221484e-12,5.19389532473855
"15",0,100,0,0,0,0,100,0,0,0,2.22602e-12,2.22602e-12,2.92357320369915e-12,31.3363403607853
"16",37,56,5,0,2,37,56,5,0,2,3.4851e-12,3.4851e-12,3.45811818742957e-12,0.774204831150616
"17",16,23,0,60,1,16,23,0,60,1,4.11627e-12,4.11627e-12,3.98862407523657e-12,3.10100952472576
"18",24,22,29,11,14,24,22,29,11,14,4.29597e-12,4.29597e-12,3.90391197929308e-12,9.12618153075825
"19",13,44,23,20,0,13,44,23,20,0,3.8044e-12,3.8044e-12,3.48212051834271e-12,8.47123019812045
"20",19,24,0,9,48,19,24,0,9,48,4.73169e-12,4.73169e-12,4.59288086404785e-12,2.93360587764934
"21",0,50,6,18,26,0,50,6,18,26,3.93966e-12,3.93966e-12,3.91640482295006e-12,0.590283858250318
"22",59,19,0,22,0,59,19,0,22,0,3.76881e-12,3.76881e-12,3.95633881689445e-12,4.97580978861902
"23",34,32,0,0,34,34,32,0,0,34,4.57553e-12,4.57553e-12,4.26877095893933e-12,6.70433897407875
"24",3,0,0,23,74,3,0,0,23,74,4.86392e-12,4.86392e-12,5.30229383106603e-12,9.01276811843184
"25",22,32,9,0,37,22,32,9,0,37,4.6156e-12,4.6156e-12,4.2497026484809e-12,7.92740600396705
"26",26,22,0,20,32,26,22,0,20,32,4.60831e-12,4.60831e-12,4.39643689144732e-12,4.59763142133842
"27",0,78,12,0,10,0,78,12,0,10,3.38305e-12,3.38305e-12,3.25829438497322e-12,3.68766689900485
"28",14,0,26,11,49,14,0,26,11,49,4.74698e-12,4.74698e-12,4.72080633744636e-12,0.551375033255763
"29",57,0,0,21,22,57,0,0,21,22,4.47463e-12,4.47463e-12,4.51811978598074e-12,0.971919152661549
"30",34,56,0,0,10,34,56,0,0,10,4.04736e-12,4.04736e-12,3.61383821683988e-12,10.7112236905074
"31",1,96,0,3,0,1,96,0,3,0,3.23666e-12,3.23666e-12,2.97791645918449e-12,7.99415263931059
