"","Mean Absolute Error (s)","Mean Average Error (%)","Max Error (%)","MSE (s)","RMS Error","RMS"
"Eucl. Dist.",8.429192e-14,8.83512631222013,36.5836250219989,2.75886695306369e-26,1.56025906412237e-13,15.090479026498
"Correl.",1.1265256e-13,10.251139115646,36.5836250219989,3.33365035652431e-26,1.87171954390822e-13,16.7382387764444
"PLS",7.97637863302688e-14,7.23839558983428,19.120465232558,9.87945528954884e-27,9.83423463106435e-14,9.22666757933039
