"","X40","X70","X100","X1.0","X1.1","X1.2","WorstCase","expectedDelayEucl","resultDelayEucl","abs(errorEucl)"
"1",3,0,0,3,0,0,3.05145e-12,3.05145e-12,3.05145e-12,0
"2",0,3,0,3,0,0,3.38253e-12,3.38253e-12,3.05145e-12,9.78793979654283
"3",0,0,3,3,0,0,3.75145e-12,3.75145e-12,3.05145e-12,18.6594516786842
"4",3,0,0,0,3,0,3.00165e-12,3.00165e-12,3.05145e-12,1.65908750187398
"5",0,3,0,0,3,0,3.55007e-12,3.55007e-12,3.38253e-12,4.71934356223962
"6",0,0,3,0,3,0,4.11342e-12,4.11342e-12,3.75145e-12,8.79973355504665
"7",3,0,0,0,0,3,4.09472e-12,4.09472e-12,3.05145e-12,25.4784209909347
"8",0,3,0,0,0,3,4.77389e-12,4.77389e-12,3.38253e-12,29.1452044349576
"9",0,0,3,0,0,3,5.45886e-12,5.45886e-12,3.75145e-12,31.2777759458935
