"","X40","X70","X100","X1.0","X1.1","X1.2","WorstCase","expectedDelayPLS","resultDelayPLS","abs(errorPLS)"
"1",3,0,0,3,0,0,8.45046e-11,8.45046e-11,8.06938421289893e-11,4.5095271393636
"2",0,3,0,3,0,0,9.70222e-11,9.70222e-11,9.74079207209052e-11,0.397559239952505
"3",0,0,3,3,0,0,1.1123e-10,1.1123e-10,1.14778937699494e-10,3.19062995549251
"4",3,0,0,0,3,0,9.80917e-11,9.80917e-11,9.82685316941325e-11,0.180271821298339
"5",0,3,0,0,3,0,1.14829e-10,1.14829e-10,1.14982610286048e-10,0.133773076529753
"6",0,0,3,0,3,0,1.32778e-10,1.32778e-10,1.32429445031277e-10,0.262509578938652
"7",3,0,0,0,0,3,1.18828e-10,1.18828e-10,1.22266679425578e-10,2.89382925369239
"8",0,3,0,0,0,3,1.3941e-10,1.3941e-10,1.38980758017493e-10,0.307898990392785
"9",0,0,3,0,0,3,1.59467e-10,1.59467e-10,1.56351774996083e-10,1.953523301948
