"","Mean Absolute Error (s)","Mean Average Error (%)","Max Error (%)","MSE (s)","RMS Error","RMS","NRMSE"
"Dist. Euclid.",3.30883496240601e-13,4.8332075759704,90.2431620240832,4.36856140633328e-25,6.06883766258206e-13,11.5979824899799,0.079403621531081
"Correlação",4.75679887218045e-13,6.64853471672668,90.2431620240832,7.24232470723477e-25,7.98742187992674e-13,12.7937065735375,0.102237467820366
"PLS-R",4.97344975741828e-13,6.97506577544742,76.4542782315604,4.70173338947845e-25,6.58592493940026e-13,11.4170826681776,0.0823758839274943
