"","X40","X70","X100","X1.0","X1.1","X1.2","WorstCase","expectedDelayGLM","resultDelayGLM","abs(errorGLM)"
"1",3,0,0,3,0,0,6.84732e-12,6.84732e-12,1.41764911111111e-11,107.037075981714
"2",0,3,0,3,0,0,7.81749e-12,7.81749e-12,1.12143411111111e-11,43.451940598723
"3",0,0,3,3,0,0,9.04941e-12,9.04941e-12,1.26309677777778e-11,39.5778042742873
"4",3,0,0,0,3,0,8.47764e-12,8.47764e-12,9.40729777777778e-12,10.9659973504157
"5",0,3,0,0,3,0,9.94095e-12,9.94095e-12,6.44514777777778e-12,35.1656755362638
"6",0,0,3,0,3,0,1.14817e-11,1.14817e-11,7.86177444444445e-12,31.5277838260497
"7",3,0,0,0,0,3,1.08417e-11,1.08417e-11,1.14693211111111e-11,5.78895478671344
"8",0,3,0,0,0,3,1.26581e-11,1.26581e-11,8.50717111111111e-12,32.7926694281834
"9",0,0,3,0,0,3,1.4522e-11,1.4522e-11,9.92379777777778e-12,31.6636979907879
