"","X40","X70","X100","X1.0","X1.1","X1.2","WorstCase","expectedDelayPLS","resultDelayPLS","abs(errorPLS)"
"1",4,4,2,4,4,2,1.36921e-11,1.36921e-11,1.2982293406795e-11,5.18405937149921
"2",1,5,4,1,5,4,1.49118e-11,1.49118e-11,1.49613947170094e-11,0.332587058634304
"3",1,0,9,1,0,9,1.59727e-11,1.59727e-11,1.76073450641392e-11,10.2339934021126
"4",7,0,3,7,0,3,1.39837e-11,1.39837e-11,1.26318555271195e-11,9.66728743380133
"5",6,4,0,6,4,0,1.06142e-11,1.06142e-11,1.1153209943493e-11,5.0781965997718
"6",4,6,0,4,6,0,1.11248e-11,1.11248e-11,1.17791462633268e-11,5.88186990621715
"7",3,0,7,3,0,7,1.56872e-11,1.56872e-11,1.63983505302081e-11,4.53331716436425
"8",0,0,10,0,0,10,1.75192e-11,1.75192e-11,1.79970189712453e-11,2.72740177202901
"9",0,10,0,0,10,0,1.22397e-11,1.22397e-11,1.19202462415005e-11,2.6099802977154
"11",5,0,5,5,0,5,1.50718e-11,1.50718e-11,1.47450469316794e-11,2.16797640839566
"12",2,8,0,2,8,0,1.14264e-11,1.14264e-11,1.17312878138249e-11,2.66827534328351
"16",0,9,1,0,9,1,1.36568e-11,1.36568e-11,1.3681438912029e-11,0.180414972973475
"17",5,2,3,5,2,3,1.42078e-11,1.42078e-11,1.34799463792522e-11,5.12291572761302
"18",10,0,0,10,0,0,8.07704e-12,8.07704e-12,1.03676398857408e-11,28.3593975731313
"20",0,6,4,0,6,4,1.56606e-11,1.56606e-11,1.48300538123287e-11,5.30341230649692
"21",0,8,2,0,8,2,1.46272e-11,1.46272e-11,1.34529595971972e-11,8.02778660852938
"24",0,4,6,0,4,6,1.62974e-11,1.62974e-11,1.60277025764674e-11,1.65484938415104
"27",4,5,1,4,5,1,1.27071e-11,1.27071e-11,1.25223156074124e-11,1.4541822491961
"32",2,3,5,2,3,5,1.52233e-11,1.52233e-11,1.52323111743933e-11,0.0591933049554294
"33",3,2,5,3,2,5,1.51778e-11,1.51778e-11,1.51414975467752e-11,0.23918125963478
"34",5,3,2,5,3,2,1.35862e-11,1.35862e-11,1.29098077102752e-11,4.97852445661662
"35",6,0,4,6,0,4,1.46055e-11,1.46055e-11,1.35112967697938e-11,7.49172044918804
"38",7,3,0,7,3,0,1.02475e-11,1.02475e-11,1.06254184237166e-11,3.68790850174738
"43",0,1,9,0,1,9,1.67291e-11,1.67291e-11,1.74760041594586e-11,4.4647001898402
"50",8,2,0,8,2,0,9.75145e-12,9.75145e-12,1.02831255740423e-11,5.45227195998885
"53",8,0,2,8,0,2,1.30814e-11,1.30814e-11,1.20599869793558e-11,7.80813231492212
"57",6,1,3,6,1,3,1.41285e-11,1.41285e-11,1.29448236870365e-11,8.37793334723109
"59",1,9,0,1,9,0,1.1482e-11,1.1482e-11,1.2725381915517e-11,10.8289663431193
"65",4,1,5,4,1,5,1.5138e-11,1.5138e-11,1.48285293868582e-11,2.04432958872889
"68",2,4,4,2,4,4,1.48776e-11,1.48776e-11,1.44818106578684e-11,2.66030369234023
"78",0,5,5,0,5,5,1.59867e-11,1.59867e-11,1.55176845233396e-11,2.93378543827301
"80",3,7,0,3,7,0,1.12854e-11,1.12854e-11,1.18772910633843e-11,5.24475041544206
"90",5,5,0,5,5,0,1.08944e-11,1.08944e-11,1.14735092758492e-11,5.31566011757636
"91",0,3,7,0,3,7,1.64925e-11,1.64925e-11,1.68929459453613e-11,2.42804878193916
"93",4,0,6,4,0,6,1.5428e-11,1.5428e-11,1.53422130262057e-11,0.556047276343985
