"","X40","X70","X100","X1.0","X1.1","X1.2","WorstCase","expectedDelayPLS","resultDelayPLS","abs(errorPLS)"
"1",3,0,0,3,0,0,1.56457e-12,1.56457e-12,1.45694311225344e-12,6.87900750663476
"2",0,3,0,3,0,0,1.70242e-12,1.70242e-12,1.69823276745248e-12,0.245957668937413
"3",0,0,3,3,0,0,1.86088e-12,1.86088e-12,1.96724337920572e-12,5.71575701849212
"4",3,0,0,0,3,0,1.51832e-12,1.51832e-12,1.5414873780173e-12,1.52585607890938
"5",0,3,0,0,3,0,1.78747e-12,1.78747e-12,1.79154565618505e-12,0.228012564409386
"6",0,0,3,0,3,0,2.07262e-12,2.07262e-12,2.05401784050015e-12,0.897519057996787
"7",3,0,0,0,0,3,2.19118e-12,2.19118e-12,2.27385423276571e-12,3.77304615621306
"8",0,3,0,0,0,3,2.53642e-12,2.53642e-12,2.53268113390218e-12,0.147407215595963
"9",0,0,3,0,0,3,2.86628e-12,2.86628e-12,2.78415449971798e-12,2.86522950591076
