"","X10","X30","X50","X70","X90","X0.9","X1.0","X1.1","X1.2","X1.3","WorstCase","expectedDelayCor","resultDelayCor","abs(errorCor)"
"275",19,13,0,20,48,19,13,0,20,48,4.74807e-12,4.74807e-12,4.82364e-12,1.59159405821734
"276",45,33,4,0,18,45,33,4,0,18,4.30322e-12,4.30322e-12,4.31853e-12,0.355780090257984
"277",31,0,0,14,55,31,0,0,14,55,4.7832e-12,4.7832e-12,4.82364e-12,0.845459106874058
"278",52,46,2,0,0,52,46,2,0,0,2.93744e-12,2.93744e-12,2.87319e-12,2.18727871888447
"279",49,5,0,46,0,49,5,0,46,0,4.00467e-12,4.00467e-12,3.99709e-12,0.189279016747945
"280",13,0,49,2,36,13,0,49,2,36,4.62134e-12,4.62134e-12,4.51792e-12,2.2378790567238
"281",63,6,0,14,17,63,6,0,14,17,4.35358e-12,4.35358e-12,4.35358e-12,0
"282",87,0,0,0,13,87,0,0,0,13,4.14564e-12,4.14564e-12,4.02922e-12,2.80825156067579
"283",0,0,0,47,53,0,0,0,47,53,5.0965e-12,5.0965e-12,5.10324e-12,0.132247620916304
"284",55,0,0,45,0,55,0,0,45,0,3.99709e-12,3.99709e-12,3.99065e-12,0.161117212772299
"285",0,0,63,0,37,0,0,63,0,37,4.46798e-12,4.46798e-12,4.5766e-12,2.43107623579335
"288",0,13,29,58,0,0,13,29,58,0,3.42368e-12,3.42368e-12,3.83547e-12,12.0277011870268
"289",1,0,0,16,83,1,0,0,16,83,4.88117e-12,4.88117e-12,4.86392e-12,0.353398877728084
"291",0,57,0,0,43,0,57,0,0,43,4.11203e-12,4.11203e-12,3.99628e-12,2.81491136981005
"293",11,25,64,0,0,11,25,64,0,0,3.47981e-12,3.47981e-12,2.76275e-12,20.6062974702642
"294",27,18,0,55,0,27,18,0,55,0,4.05758e-12,4.05758e-12,4.11627e-12,1.44642865944726
"295",45,4,34,17,0,45,4,34,17,0,3.77411e-12,3.77411e-12,4.31758e-12,14.399951246784
"296",52,0,8,0,40,52,0,8,0,40,4.64461e-12,4.64461e-12,4.58616e-12,1.25844796441466
"297",28,0,5,24,43,28,0,5,24,43,4.71801e-12,4.71801e-12,4.68741e-12,0.648578532050592
"299",38,14,0,48,0,38,14,0,48,0,4.01932e-12,4.01932e-12,4.04541e-12,0.649114775633675
