"","X40","X70","X100","X1.0","X1.1","X1.2","WorstCase","expectedDelayCor","resultDelayCor","abs(errorCor)"
"1",4,4,2,4,4,2,5.21061e-12,5.21061e-12,4.37011e-12,16.1305490144148
"2",1,5,4,1,5,4,5.59794e-12,5.59794e-12,5.6438e-12,0.819229931010335
"3",1,0,9,1,0,9,5.92401e-12,5.92401e-12,6.56528e-12,10.8249310855316
"4",7,0,3,7,0,3,5.33085e-12,5.33085e-12,5.35178e-12,0.392620313833625
"5",6,4,0,6,4,0,4.28137e-12,4.28137e-12,4.1644e-12,2.7320694076896
"6",4,6,0,4,6,0,4.44162e-12,4.44162e-12,4.92037e-12,10.778724879661
"7",3,0,7,3,0,7,5.83911e-12,5.83911e-12,5.69111e-12,2.53463284644406
"8",0,0,10,0,0,10,6.56528e-12,6.56528e-12,5.92401e-12,9.76759559379036
"9",0,10,0,0,10,0,4.39545e-12,4.39545e-12,4.92039e-12,11.9428044910077
"11",5,0,5,5,0,5,5.6638e-12,5.6638e-12,5.6769e-12,0.231293477877026
"12",2,8,0,2,8,0,4.52768e-12,4.52768e-12,4.55289e-12,0.556797300162537
"16",0,9,1,0,9,1,4.92039e-12,4.92039e-12,4.39545e-12,10.6686665081426
"17",5,2,3,5,2,3,5.38496e-12,5.38496e-12,5.35178e-12,0.6161605657238
"18",10,0,0,10,0,0,3.46979e-12,3.46979e-12,3.98916e-12,14.9683410235202
"20",0,6,4,0,6,4,5.6438e-12,5.6438e-12,5.59794e-12,0.81257308905347
"21",0,8,2,0,8,2,5.24282e-12,5.24282e-12,4.92039e-12,6.14993457719318
"24",0,4,6,0,4,6,5.87719e-12,5.87719e-12,5.95054e-12,1.24804540945589
"27",4,5,1,4,5,1,4.92037e-12,4.92037e-12,4.44162e-12,9.72995933232663
"32",2,3,5,2,3,5,5.702e-12,5.702e-12,5.95054e-12,4.35882146615223
"33",3,2,5,3,2,5,5.69111e-12,5.69111e-12,5.83911e-12,2.60054716918141
"34",5,3,2,5,3,2,5.18087e-12,5.18087e-12,3.98916e-12,23.0021212653473
"35",6,0,4,6,0,4,5.52601e-12,5.52601e-12,5.33085e-12,3.53166208530206
"38",7,3,0,7,3,0,4.1644e-12,4.1644e-12,5.18087e-12,24.4085582556911
"43",0,1,9,0,1,9,6.03798e-12,6.03798e-12,6.56528e-12,8.73305310716499
"50",8,2,0,8,2,0,3.98916e-12,3.98916e-12,5.18087e-12,29.8737077479971
"53",8,0,2,8,0,2,5.03708e-12,5.03708e-12,5.38496e-12,6.90638226909241
"57",6,1,3,6,1,3,5.35178e-12,5.35178e-12,5.33085e-12,0.391084835325817
"59",1,9,0,1,9,0,4.55289e-12,4.55289e-12,4.39545e-12,3.4580233653789
"65",4,1,5,4,1,5,5.6769e-12,5.6769e-12,5.76355e-12,1.52636121827052
"68",2,4,4,2,4,4,5.58887e-12,5.58887e-12,5.58887e-12,0
"78",0,5,5,0,5,5,5.77247e-12,5.77247e-12,5.58887e-12,3.18061419115214
"80",3,7,0,3,7,0,4.49287e-12,4.49287e-12,4.52768e-12,0.774783156423409
"90",5,5,0,5,5,0,4.37011e-12,4.37011e-12,5.21061e-12,19.2329254870015
"91",0,3,7,0,3,7,5.95054e-12,5.95054e-12,5.702e-12,4.17676378950482
"93",4,0,6,4,0,6,5.76355e-12,5.76355e-12,5.6769e-12,1.5034136946847
