"","X10","X30","X50","X70","X90","X0.9","X1.0","X1.1","X1.2","X1.3","WorstCase","expectedDelayPLS","resultDelayPLS","abs(errorPLS)"
"59",37,7,15,9,32,37,7,15,9,32,4.58616e-12,4.58616e-12,4.46089480041694e-12,2.73137438691761
"60",34,6,14,12,34,34,6,14,12,34,4.61688e-12,4.61688e-12,4.51608702789466e-12,2.18314039146214
"61",43,15,15,0,27,43,15,15,0,27,4.48606e-12,4.48606e-12,4.27479229096973e-12,4.70942673593917
"64",21,0,30,30,19,21,0,30,30,19,4.463e-12,4.463e-12,4.26099753731127e-12,4.52615869793267
"65",25,19,7,26,23,25,19,7,26,23,4.5095e-12,4.5095e-12,4.24847449795362e-12,5.78834686875219
"66",0,38,44,18,0,0,38,44,18,0,3.07368e-12,3.07368e-12,3.42095521961354e-12,11.2983531016092
"67",14,25,6,9,46,14,25,6,9,46,4.71863e-12,4.71863e-12,4.55256938365254e-12,3.5192548758318
"69",0,77,23,0,0,0,77,23,0,0,2.5463e-12,2.5463e-12,3.08799844042816e-12,21.2739441710779
"70",11,0,21,35,33,11,0,21,35,33,4.64758e-12,4.64758e-12,4.55827296676455e-12,1.92158140872122
"71",21,51,16,0,12,21,51,16,0,12,4.1503e-12,4.1503e-12,3.61853244900839e-12,12.8127497046385
"72",56,0,0,44,0,56,0,0,44,0,3.99065e-12,3.99065e-12,4.13590724562632e-12,3.63993949923747
"73",16,4,35,23,22,16,4,35,23,22,4.49478e-12,4.49478e-12,4.22806214608574e-12,5.93394679860317
"74",0,49,26,18,7,0,49,26,18,7,3.45156e-12,3.45156e-12,3.5239322519595e-12,2.09679831610927
"75",12,41,27,1,19,12,41,27,1,19,4.35484e-12,4.35484e-12,3.78416173717872e-12,13.1044599301302
"76",39,11,18,15,17,39,11,18,15,17,4.37441e-12,4.37441e-12,4.15413641165509e-12,5.03550395013062
"77",42,5,0,53,0,42,5,0,53,0,4.04541e-12,4.04541e-12,4.09420067775866e-12,1.20607497778122
"78",48,0,0,22,30,48,0,0,22,30,4.58844e-12,4.58844e-12,4.61133043827728e-12,0.498871910219623
"79",46,29,0,25,0,46,29,0,25,0,3.81513e-12,3.81513e-12,3.7884328745912e-12,0.699769743332579
"80",0,0,81,19,0,0,0,81,19,0,3.4826e-12,3.4826e-12,3.62387395794007e-12,4.0565657250351
"82",0,49,51,0,0,0,49,51,0,0,2.70635e-12,2.70635e-12,3.23210426104735e-12,19.4266913387903
"83",40,0,0,15,45,40,0,0,15,45,4.7185e-12,4.7185e-12,4.85497328614224e-12,2.89230234486046
"84",17,0,83,0,0,17,0,83,0,0,3.51298e-12,3.51298e-12,3.58397303249633e-12,2.02087778741509
"85",15,0,0,54,31,15,0,0,54,31,4.64206e-12,4.64206e-12,4.6757152864637e-12,0.725007571287328
"86",32,53,0,0,15,32,53,0,0,15,4.22107e-12,4.22107e-12,3.74113604813738e-12,11.3699595567621
"87",28,14,33,19,6,28,14,33,19,6,4.10586e-12,4.10586e-12,3.85279723358488e-12,6.16345336701989
"89",0,37,0,0,63,0,37,0,0,63,4.28215e-12,4.28215e-12,4.73017419818707e-12,10.4625993528267
"90",0,0,73,27,0,0,0,73,27,0,3.58671e-12,3.58671e-12,3.68264638354392e-12,2.67477391659534
"91",0,11,31,21,37,0,11,31,21,37,4.10585e-12,4.10585e-12,4.42550138227342e-12,7.7852669306822
"92",21,22,36,0,21,21,22,36,0,21,4.39494e-12,4.39494e-12,3.9729720917542e-12,9.60122113716694
"93",23,3,0,37,37,23,3,0,37,37,4.68351e-12,4.68351e-12,4.71908535234565e-12,0.759587410844653
"94",37,0,0,57,6,37,0,0,57,6,4.25524e-12,4.25524e-12,4.25679282835324e-12,0.0364921450549671
"95",23,40,37,0,0,23,40,37,0,0,3.36992e-12,3.36992e-12,3.41329001636258e-12,1.28697465704171
"96",23,39,17,0,21,23,39,17,0,21,4.38262e-12,4.38262e-12,3.89720675272376e-12,11.0758689385855
"97",22,0,0,15,63,22,0,0,15,63,4.82364e-12,4.82364e-12,5.15980033181309e-12,6.96901783327712
"98",13,9,23,50,5,13,9,23,50,5,4.21813e-12,4.21813e-12,3.99551888413282e-12,5.27748352628253
"99",0,63,0,37,0,0,63,0,37,0,3.22571e-12,3.22571e-12,3.43187381915554e-12,6.39126949277944
"100",0,52,17,30,1,0,52,17,30,1,3.24339e-12,3.24339e-12,3.45985952389593e-12,6.67417498037319
"101",30,21,10,23,16,30,21,10,23,16,4.38093e-12,4.38093e-12,4.08587023372536e-12,6.73509428990272
"102",0,20,30,27,23,0,20,30,27,23,3.92286e-12,3.92286e-12,4.10408090681313e-12,4.61961188554096
"103",0,14,23,35,28,0,14,23,35,28,4.01576e-12,4.01576e-12,4.30772603205216e-12,7.27050501155846
"104",31,15,52,2,0,31,15,52,2,0,3.51011e-12,3.51011e-12,3.60355895655557e-12,2.66228000135527
"105",0,83,0,0,17,0,83,0,0,17,3.63088e-12,3.63088e-12,3.44469441688968e-12,5.12783631269329
"106",0,25,46,0,29,0,25,46,0,29,3.94008e-12,3.94008e-12,4.01678224526401e-12,1.94671796674215
"108",0,7,56,37,0,0,7,56,37,0,3.2893e-12,3.2893e-12,3.72008546039393e-12,13.0965694948447
"110",16,26,39,19,0,16,26,39,19,0,3.81566e-12,3.81566e-12,3.58388125527203e-12,6.07440769691142
"111",33,37,0,1,29,33,37,0,1,29,4.51182e-12,4.51182e-12,4.15587259147144e-12,7.88922006038713
"112",88,12,0,0,0,88,12,0,0,0,2.67382e-12,2.67382e-12,3.93853895749651e-12,47.3000784456886
"113",11,37,6,26,20,11,37,6,26,20,4.46253e-12,4.46253e-12,4.00534694886408e-12,10.2449294713071
