"","Mean Absolute Error (s)","Mean Average Error (%)","Max Error (%)","MSE (s)","RMS Error","RMS","NRMSE"
"Dist. Euclid.",2.91505928571429e-12,19.6642872935472,147.951838161476,2.85416847613241e-23,4.87420019675683e-12,38.6914739673665,0.249937016126103
"Correlação",3.49582821428571e-12,21.9294812874497,147.951838161476,3.12187525368421e-23,5.26561086979435e-12,39.6002293080609,0.261395767196156
"PLS",1.54160118949861e-12,8.64413322587887,55.028392922619,3.87528711010994e-24,2.06738032753392e-12,14.6514585858338,0.0920964139644396
