"","X10","X30","X50","X70","X90","X0.9","X1.0","X1.1","X1.2","X1.3","WorstCase","expectedDelayPLS","resultDelayPLS","abs(errorPLS)"
"64",21,0,30,30,19,21,0,30,30,19,2.02375e-12,2.02375e-12,1.88731827235078e-12,6.74153070533507
"65",25,19,7,26,23,25,19,7,26,23,2.03651e-12,2.03651e-12,1.86836422073705e-12,8.25656536245604
"66",0,38,44,18,0,0,38,44,18,0,1.07766e-12,1.07766e-12,1.44794544920629e-12,34.360136704182
"67",14,25,6,9,46,14,25,6,9,46,2.09256e-12,2.09256e-12,1.87775583314954e-12,10.265137766681
"69",0,77,23,0,0,0,77,23,0,0,9.97491e-13,9.97491e-13,1.28960458081645e-12,29.2848337294721
"70",11,0,21,35,33,11,0,21,35,33,2.06984e-12,2.06984e-12,1.88382223043062e-12,8.98706033168627
"71",21,51,16,0,12,21,51,16,0,12,1.96614e-12,1.96614e-12,1.63840172687801e-12,16.6691218896918
"72",56,0,0,44,0,56,0,0,44,0,1.91203e-12,1.91203e-12,2.08005168245517e-12,8.78760701741963
"73",16,4,35,23,22,16,4,35,23,22,2.03255e-12,2.03255e-12,1.84425072124757e-12,9.26418925745642
"74",0,49,26,18,7,0,49,26,18,7,1.15067e-12,1.15067e-12,1.4447344558707e-12,25.5559331407524
"75",12,41,27,1,19,12,41,27,1,19,2.00709e-12,2.00709e-12,1.64150696931886e-12,18.2145808449617
"76",39,11,18,15,17,39,11,18,15,17,2.00674e-12,2.00674e-12,1.98111900282983e-12,1.27674722037588
"77",42,5,0,53,0,42,5,0,53,0,1.92098e-12,1.92098e-12,1.94423270333127e-12,1.21046045931061
"78",48,0,0,22,30,48,0,0,22,30,2.0574e-12,2.0574e-12,2.17694925380063e-12,5.81069572278758
"79",46,29,0,25,0,46,29,0,25,0,1.88418e-12,1.88418e-12,1.87578110552242e-12,0.445758604675706
"80",0,0,81,19,0,0,0,81,19,0,1.59133e-12,1.59133e-12,1.59737496018508e-12,0.37986842358777
"82",0,49,51,0,0,0,49,51,0,0,1.01557e-12,1.01557e-12,1.39949439355815e-12,37.8038336656406
"83",40,0,0,15,45,40,0,0,15,45,2.09192e-12,2.09192e-12,2.19261829217079e-12,4.81367796908041
"84",17,0,83,0,0,17,0,83,0,0,1.82658e-12,1.82658e-12,1.73610221313378e-12,4.95339852983296
"85",15,0,0,54,31,15,0,0,54,31,2.06743e-12,2.06743e-12,1.91193157408605e-12,7.52133933985433
"86",32,53,0,0,15,32,53,0,0,15,1.98291e-12,1.98291e-12,1.74104917782729e-12,12.1972667530404
"87",28,14,33,19,6,28,14,33,19,6,1.94438e-12,1.94438e-12,1.81435314060581e-12,6.6873172627878
"88",0,63,0,37,0,0,63,0,37,0,1.10379e-12,1.10379e-12,1.35540293930159e-12,22.7953631851702
"89",0,37,0,0,63,0,37,0,0,63,1.31875e-12,1.31875e-12,1.80623006833527e-12,36.9653132386932
"90",0,0,73,27,0,0,0,73,27,0,1.63705e-12,1.63705e-12,1.59972165253412e-12,2.28022036381811
"91",0,11,31,21,37,0,11,31,21,37,1.27779e-12,1.27779e-12,1.76600780219625e-12,38.2079842694225
"92",21,22,36,0,21,21,22,36,0,21,2.01591e-12,2.01591e-12,1.80359332446691e-12,10.5320513084955
"93",23,3,0,37,37,23,3,0,37,37,2.07954e-12,2.07954e-12,1.9973285637424e-12,3.95334719493727
"94",37,0,0,57,6,37,0,0,57,6,1.96999e-12,1.96999e-12,1.95683929595805e-12,0.667551817113488
"95",23,40,37,0,0,23,40,37,0,0,1.81168e-12,1.81168e-12,1.63004640657557e-12,10.0256995398984
"96",23,39,17,0,21,23,39,17,0,21,2.01479e-12,2.01479e-12,1.75385105632657e-12,12.9511732574328
"97",22,0,0,15,63,22,0,0,15,63,2.11997e-12,2.11997e-12,2.14258366887956e-12,1.06669758909588
"98",13,9,23,50,5,13,9,23,50,5,1.96108e-12,1.96108e-12,1.71003708169063e-12,12.8012584040108
"100",0,52,17,30,1,0,52,17,30,1,1.10837e-12,1.10837e-12,1.40222915343431e-12,26.5127307157637
"101",30,21,10,23,16,30,21,10,23,16,2.00647e-12,2.00647e-12,1.86211630108662e-12,7.194411026
"102",0,20,30,27,23,0,20,30,27,23,1.23873e-12,1.23873e-12,1.65252608687948e-12,33.4048652151379
"103",0,14,23,35,28,0,14,23,35,28,1.25735e-12,1.25735e-12,1.70696345662118e-12,35.7588146992624
"104",31,15,52,2,0,31,15,52,2,0,1.82972e-12,1.82972e-12,1.79665517085068e-12,1.8070977608225
"105",0,83,0,0,17,0,83,0,0,17,1.19406e-12,1.19406e-12,1.36310248908076e-12,14.1569509975007
"106",0,25,46,0,29,0,25,46,0,29,1.24738e-12,1.24738e-12,1.65923425180665e-12,33.0175449186814
"107",27,0,61,0,12,27,0,61,0,12,1.96959e-12,1.96959e-12,1.88948781173032e-12,4.06694734790889
"108",0,7,56,37,0,0,7,56,37,0,1.10913e-12,1.10913e-12,1.57518256478499e-12,42.0196518699329
"109",20,32,30,18,0,20,32,30,18,0,1.87632e-12,1.87632e-12,1.64125873360785e-12,12.5277813162015
"110",16,26,39,19,0,16,26,39,19,0,1.87999e-12,1.87999e-12,1.63114679369046e-12,13.2364111675881
"111",33,37,0,1,29,33,37,0,1,29,2.04501e-12,2.04501e-12,1.89254497550417e-12,7.45546596328782
"112",88,12,0,0,0,88,12,0,0,0,1.74959e-12,1.74959e-12,2.29167398832008e-12,30.9834868923624
"113",11,37,6,26,20,11,37,6,26,20,2.02515e-12,2.02515e-12,1.66175922629302e-12,17.9438942155878
"114",0,65,0,18,17,0,65,0,18,17,1.20814e-12,1.20814e-12,1.43902599791432e-12,19.110864462258
