"","Mean Absolute Error (s)","Mean Average Error (%)","Max Error (%)","MSE (s)","RMS Error","RMS"
"Eucl. Dist.",1.28670285714286e-13,6.42839865478221,25.0690380093613,6.31521827888889e-26,2.06335413289001e-13,9.12423660188078
"Correl.",1.99647428571429e-13,8.49937989167124,25.0690380093613,8.65579830342857e-26,2.73311715560927e-13,11.2817027511937
"PLS",8.12082771398581e-14,3.70991897629143,15.3636446775028,1.26702127860774e-26,1.02801027736401e-13,4.83190721197175
