"","X10","X30","X50","X70","X90","X0.9","X1.0","X1.1","X1.2","X1.3","DelayRising","DelayFalling","WorstCase","expectedDelayCor","resultDelayCor","abs(errorCor)"
"1",37,56,1,6,0,37,56,1,6,0,4.71406e-12,6.35113e-12,6.35113e-12,6.35113e-12,6.69765e-12,5.45603695720289
"2",70,0,7,0,23,70,0,7,0,23,7.68733e-12,9.01742e-12,9.01742e-12,9.01742e-12,8.37039e-12,7.17533396470388
"3",47,0,0,42,11,47,0,0,42,11,7.45686e-12,8.79187e-12,8.79187e-12,8.79187e-12,7.94478e-12,9.63492408327238
"4",13,33,5,7,42,13,33,5,7,42,8.47019e-12,9.69877e-12,9.69877e-12,9.69877e-12,9.39076e-12,3.17576352465313
"5",0,0,0,87,13,0,0,0,87,13,9.33202e-12,7.2041e-12,9.33202e-12,9.33202e-12,9.37814e-12,0.494212399887695
"6",0,0,45,55,0,0,0,45,55,0,7.80842e-12,6.92243e-12,7.80842e-12,7.80842e-12,7.81848e-12,0.128835282938145
"7",0,12,33,28,27,0,12,33,28,27,8.68127e-12,8.78834e-12,8.78834e-12,8.78834e-12,8.72506e-12,0.720044968674394
"8",8,0,79,13,0,8,0,79,13,0,5.8715e-12,7.34773e-12,7.34773e-12,7.34773e-12,7.11879e-12,3.11579222426519
"9",37,0,17,23,23,37,0,17,23,23,7.956e-12,9.24134e-12,9.24134e-12,9.24134e-12,8.9599e-12,3.04544579032912
"10",0,0,79,0,21,0,0,79,0,21,8.72087e-12,7.74574e-12,8.72087e-12,8.72087e-12,8.91407e-12,2.21537530085876
"11",0,6,0,74,20,0,6,0,74,20,8.56981e-12,8.6851e-12,8.6851e-12,8.6851e-12,9.69277e-12,11.6022843720855
"12",100,0,0,0,0,100,0,0,0,0,2.31931e-12,4.24943e-12,4.24943e-12,4.24943e-12,8.08425e-12,90.2431620240832
"13",27,4,11,29,29,27,4,11,29,29,8.21554e-12,9.47165e-12,9.47165e-12,9.47165e-12,9.47077e-12,0.00929088384812315
"14",0,15,32,28,25,0,15,32,28,25,8.60794e-12,8.72506e-12,8.72506e-12,8.72506e-12,9.28325e-12,6.39754912860198
"15",0,100,0,0,0,0,100,0,0,0,4.04331e-12,4.70916e-12,4.70916e-12,4.70916e-12,5.97955e-12,26.9769980208785
"16",37,56,5,0,2,37,56,5,0,2,5.0839e-12,6.69765e-12,6.69765e-12,6.69765e-12,6.35113e-12,5.17375497375945
"17",16,23,0,60,1,16,23,0,60,1,6.88705e-12,8.26567e-12,8.26567e-12,8.26567e-12,7.69758e-12,6.8728850776767
