"","X10","X30","X50","X70","X90","X0.9","X1","X1.1","X1.2","X1.3","WorstCase","expectedDelayPLS","resultDelayPLS","abs(errorPLS)"
"63",0,3,3,1,3,0,3,3,1,3,1.69948e-10,1.69948e-10,1.93860876384756e-10,14.0707018527761
"64",1,0,2,1,6,1,0,2,1,6,1.98402e-10,1.98402e-10,2.05468013041215e-10,3.56146260683634
"65",3,1,2,2,2,3,1,2,2,2,2.15781e-10,2.15781e-10,2.01415416405011e-10,6.65748309396529
"66",0,0,1,2,7,0,0,1,2,7,1.89258e-10,1.89258e-10,2.03755691516144e-10,7.66027936263933
"67",3,0,2,2,3,3,0,2,2,3,2.1913e-10,2.1913e-10,2.04955630452143e-10,6.46847512794074
"68",5,1,1,3,0,5,1,1,3,0,1.99668e-10,1.99668e-10,2.01342919968235e-10,0.83885247923301
"69",1,3,0,3,3,1,3,0,3,3,1.4908e-10,1.4908e-10,1.92515944575205e-10,29.1359971660886
"71",3,2,2,1,2,3,2,2,1,2,1.89315e-10,1.89315e-10,1.9948080167248e-10,5.36978140796054
"72",0,1,2,2,5,0,1,2,2,5,1.86904e-10,1.86904e-10,1.99775591316715e-10,6.8867393510653
"73",1,2,0,2,5,1,2,0,2,5,2.12576e-10,2.12576e-10,1.9766175793694e-10,7.01595761659831
"74",0,0,0,2,8,0,0,0,2,8,2.12334e-10,2.12334e-10,2.0419557766844e-10,3.83283992745385
"75",2,2,1,1,4,2,2,1,1,4,2.20983e-10,2.20983e-10,1.99374079462011e-10,9.7785442943523
"76",0,2,0,1,7,0,2,0,1,7,2.05717e-10,2.05717e-10,1.98720748888777e-10,3.40091052816384
"77",1,1,1,1,6,1,1,1,1,6,2.18788e-10,2.18788e-10,2.02367685146379e-10,7.50512589978476
"78",2,1,1,3,3,2,1,1,3,3,2.15658e-10,2.15658e-10,1.99703094879939e-10,7.39824403456432
"79",0,1,1,1,7,0,1,1,1,7,2.00972e-10,2.00972e-10,2.01821076783614e-10,0.42248511415206
"80",1,2,4,3,0,1,2,4,3,0,2.18828e-10,2.18828e-10,1.94296614013153e-10,11.2103505889773
"81",1,4,2,2,1,1,4,2,2,1,1.52414e-10,1.52414e-10,1.89701557538082e-10,24.46465386256
"82",1,0,1,0,8,1,0,1,0,8,1.73702e-10,1.73702e-10,2.07513498508114e-10,19.4652327020495
"83",2,1,1,2,4,2,1,1,2,4,2.20527e-10,2.20527e-10,2.01308694194542e-10,8.71471783747944
"84",2,1,2,0,5,2,1,2,0,5,2.07001e-10,2.07001e-10,2.0408000667145e-10,1.41110107127481
"85",1,0,0,1,8,1,0,0,1,8,2.10634e-10,2.10634e-10,2.06347785345808e-10,2.03491110371176
