"","X40","X70","X100","X1.0","X1.1","X1.2","WorstCase","expectedDelayPLS","resultDelayPLS","abs(errorPLS)"
"1",4,4,2,4,4,2,5.21061e-12,5.21061e-12,4.94903617475913e-12,5.02002309213061
"2",1,5,4,1,5,4,5.59794e-12,5.59794e-12,5.48261430354386e-12,2.06014527587187
"3",1,0,9,1,0,9,5.92401e-12,5.92401e-12,6.49736195293509e-12,9.67844336750085
"4",7,0,3,7,0,3,5.33085e-12,5.33085e-12,4.93949971826861e-12,7.34123604549715
"5",6,4,0,6,4,0,4.28137e-12,4.28137e-12,4.53028658262384e-12,5.81394699883075
"6",4,6,0,4,6,0,4.44162e-12,4.44162e-12,4.4883696006715e-12,1.05253490103838
"7",3,0,7,3,0,7,5.83911e-12,5.83911e-12,5.96887815527944e-12,2.2223961404982
"8",0,0,10,0,0,10,6.56528e-12,6.56528e-12,6.54489689927188e-12,0.310468109937712
"9",0,10,0,0,10,0,4.39545e-12,4.39545e-12,4.7548340374349e-12,8.17627404326982
"11",5,0,5,5,0,5,5.6638e-12,5.6638e-12,5.43650114087188e-12,4.01318653780357
"12",2,8,0,2,8,0,4.52768e-12,4.52768e-12,4.6282564943548e-12,2.22136931838814
"16",0,9,1,0,9,1,4.92039e-12,4.92039e-12,4.7900540982399e-12,2.64889372102823
"17",5,2,3,5,2,3,5.38496e-12,5.38496e-12,5.12621831013565e-12,4.8048952984673
"18",10,0,0,10,0,0,3.46979e-12,3.46979e-12,4.15684939888976e-12,19.8011810193055
"20",0,6,4,0,6,4,5.6438e-12,5.6438e-12,5.46969121714412e-12,3.08495664013397
"21",0,8,2,0,8,2,5.24282e-12,5.24282e-12,5.11656326912829e-12,2.4081835895894
"24",0,4,6,0,4,6,5.87719e-12,5.87719e-12,5.89626956455007e-12,0.324637531712768
"27",4,5,1,4,5,1,4.92037e-12,4.92037e-12,4.75749918132263e-12,3.310133560634
"32",2,3,5,2,3,5,5.702e-12,5.702e-12,5.63967680609523e-12,1.09300585592373
"33",3,2,5,3,2,5,5.69111e-12,5.69111e-12,5.55366255010072e-12,2.41512551855928
"34",5,3,2,5,3,2,5.18087e-12,5.18087e-12,4.91594241314884e-12,5.11357333519581
"35",6,0,4,6,0,4,5.52601e-12,5.52601e-12,5.29059473124196e-12,4.26013106668348
"38",7,3,0,7,3,0,4.1644e-12,4.1644e-12,4.38551200711724e-12,5.30957658047353
"43",0,1,9,0,1,9,6.03798e-12,6.03798e-12,6.49247427111178e-12,7.52725698183465
"50",8,2,0,8,2,0,3.98916e-12,3.98916e-12,4.40370903954373e-12,10.3918880050871
"53",8,0,2,8,0,2,5.03708e-12,5.03708e-12,4.78150908038998e-12,5.07379115698026
"57",6,1,3,6,1,3,5.35178e-12,5.35178e-12,5.09369042762649e-12,4.82249966129987
"59",1,9,0,1,9,0,4.55289e-12,4.55289e-12,4.56460849301939e-12,0.257385814710931
"65",4,1,5,4,1,5,5.6769e-12,5.6769e-12,5.52113466759155e-12,2.74384492255364
"68",2,4,4,2,4,4,5.58887e-12,5.58887e-12,5.44606871874647e-12,2.55510114304907
"78",0,5,5,0,5,5,5.77247e-12,5.77247e-12,5.68866176196071e-12,1.45186095448382
"80",3,7,0,3,7,0,4.49287e-12,4.49287e-12,4.48348191884819e-12,0.208955103348307
"90",5,5,0,5,5,0,4.37011e-12,4.37011e-12,4.47994793189162e-12,2.51339055290654
"91",0,3,7,0,3,7,5.95054e-12,5.95054e-12,6.13601898544515e-12,3.11701098463586
"93",4,0,6,4,0,6,5.76355e-12,5.76355e-12,5.67525609669557e-12,1.53193610369347
