"","X10","X30","X50","X70","X90","X0.9","X1.0","X1.1","X1.2","X1.3","WorstCase","expectedDelayPLS","resultDelayPLS","abs(errorPLS)"
"1",37,56,1,6,0,37,56,1,6,0,6.35113e-12,6.35113e-12,6.88214148319991e-12,8.36089771741262
"2",70,0,7,0,23,70,0,7,0,23,9.01742e-12,9.01742e-12,8.59846410023557e-12,4.64607282087814
"3",47,0,0,42,11,47,0,0,42,11,8.79187e-12,8.79187e-12,8.59916227117247e-12,2.19188555822063
"4",13,33,5,7,42,13,33,5,7,42,9.69877e-12,9.69877e-12,9.21884518643249e-12,4.94830595598728
"5",0,0,0,87,13,0,0,0,87,13,9.33202e-12,9.33202e-12,9.30055285439546e-12,0.337195436835125
"6",0,0,45,55,0,0,0,45,55,0,7.80842e-12,7.80842e-12,8.08470299956299e-12,3.53827022064626
"7",0,12,33,28,27,0,12,33,28,27,8.78834e-12,8.78834e-12,8.93346335362857e-12,1.65131701354941
"8",8,0,79,13,0,8,0,79,13,0,7.34773e-12,7.34773e-12,7.40686266525257e-12,0.8047746072946
"9",37,0,17,23,23,37,0,17,23,23,9.24134e-12,9.24134e-12,8.87335977124564e-12,3.98189254755649
"10",0,0,79,0,21,0,0,79,0,21,8.72087e-12,8.72087e-12,8.2584707238358e-12,5.30221498731438
"11",0,6,0,74,20,0,6,0,74,20,8.6851e-12,8.6851e-12,9.39387818176468e-12,8.16085228454106
"12",100,0,0,0,0,100,0,0,0,0,4.24943e-12,4.24943e-12,7.4983010354554e-12,76.4542782315604
"13",27,4,11,29,29,27,4,11,29,29,9.47165e-12,9.47165e-12,9.21766327566661e-12,2.68154676675543
"14",0,15,32,28,25,0,15,32,28,25,8.72506e-12,8.72506e-12,8.8019734808494e-12,0.881523804413908
"15",0,100,0,0,0,0,100,0,0,0,4.70916e-12,4.70916e-12,6.2602926428225e-12,32.9386269063378
"16",37,56,5,0,2,37,56,5,0,2,6.69765e-12,6.69765e-12,6.88590602477844e-12,2.81077728424806
"17",16,23,0,60,1,16,23,0,60,1,8.26567e-12,8.26567e-12,8.06731771282144e-12,2.39971214890705
"18",24,22,29,11,14,24,22,29,11,14,8.70837e-12,8.70837e-12,7.95992215054013e-12,8.59458026542128
"19",13,44,23,20,0,13,44,23,20,0,7.43443e-12,7.43443e-12,7.14448317006336e-12,3.90005460992496
"20",19,24,0,9,48,19,24,0,9,48,9.77279e-12,9.77279e-12,9.66706471189865e-12,1.08183321345645
"21",0,50,6,18,26,0,50,6,18,26,8.68245e-12,8.68245e-12,8.37086718450495e-12,3.58865084734209
"22",59,19,0,22,0,59,19,0,22,0,7.33042e-12,7.33042e-12,7.55820991961041e-12,3.10746068588714
"23",34,32,0,0,34,34,32,0,0,34,9.44712e-12,9.44712e-12,8.76328661697755e-12,7.23853812614272
"24",3,0,0,23,74,3,0,0,23,74,1.01085e-11,1.01085e-11,1.14222868821542e-11,12.9968529668517
"25",22,32,9,0,37,22,32,9,0,37,9.54254e-12,9.54254e-12,8.87957367634773e-12,6.94748278395765
