"","Mean Absolute Error (s)","Mean Average Error (%)","Max Error (%)","MSE (s)","RMS Error","RMS"
"Eucl. Dist.",1.93839428571428e-13,4.85515692884337,14.9683410235202,1.02512252209365e-25,2.69348040625083e-13,6.46671196920117
"Correl.",3.43444857142857e-13,7.07378187290669,29.8737077479971,2.28145285677143e-25,4.83954180703091e-13,9.95380243910813
"PLS",2.03547229421047e-13,4.56416012211903,19.8011810193055,7.75144322011595e-26,2.55167167226528e-13,6.02395500960281
