"","X10","X30","X50","X70","X90","X0.9","X1.0","X1.1","X1.2","X1.3","WorstCase","expectedDelayPLS","resultDelayPLS","abs(errorPLS)"
"1",37,56,1,6,0,37,56,1,6,0,1.44517e-11,1.44517e-11,1.65692350618406e-11,14.6524980579488
"2",70,0,7,0,23,70,0,7,0,23,2.2599e-11,2.2599e-11,2.01872306283727e-11,10.6720181053465
"3",47,0,0,42,11,47,0,0,42,11,2.19248e-11,2.19248e-11,2.10386132264019e-11,4.04193777639077
"4",13,33,5,7,42,13,33,5,7,42,2.45945e-11,2.45945e-11,2.40046737306103e-11,2.39820394555561
"5",0,0,0,87,13,0,0,0,87,13,2.50183e-11,2.50183e-11,2.47328552789454e-11,1.14094371342019
"6",0,0,45,55,0,0,0,45,55,0,2.14151e-11,2.14151e-11,2.13165422862009e-11,0.460225326050634
"7",0,12,33,28,27,0,12,33,28,27,2.45059e-11,2.45059e-11,2.36885164337526e-11,3.33545622175638
"8",8,0,79,13,0,8,0,79,13,0,1.75477e-11,1.75477e-11,1.91145001406639e-11,8.92880628608823
"9",37,0,17,23,23,37,0,17,23,23,2.32363e-11,2.32363e-11,2.21691324401109e-11,4.59267422046134
"10",0,0,79,0,21,0,0,79,0,21,2.41095e-11,2.41095e-11,2.17924212073917e-11,9.61064639502385
"11",0,6,0,74,20,0,6,0,74,20,2.41663e-11,2.41663e-11,2.49905535011872e-11,3.41075589224316
"12",100,0,0,0,0,100,0,0,0,0,9.11427e-12,9.11427e-12,1.60054271684387e-11,75.6084378500825
"13",27,4,11,29,29,27,4,11,29,29,2.39054e-11,2.39054e-11,2.35005684574866e-11,1.693473200672
"14",0,15,32,28,25,0,15,32,28,25,2.43204e-11,2.43204e-11,2.33191143438888e-11,4.11706080537821
"15",0,100,0,0,0,0,100,0,0,0,1.20193e-11,1.20193e-11,1.61668748787973e-11,34.5076242276782
"16",37,56,5,0,2,37,56,5,0,2,1.53707e-11,1.53707e-11,1.65785456594795e-11,7.85810444208461
"17",16,23,0,60,1,16,23,0,60,1,2.02077e-11,2.02077e-11,2.06789412467474e-11,2.33198853282339
"18",24,22,29,11,14,24,22,29,11,14,2.17659e-11,2.17659e-11,2.00753896557046e-11,7.766783566475
"19",13,44,23,20,0,13,44,23,20,0,1.77764e-11,1.77764e-11,1.81877274856549e-11,2.31389643378248
"20",19,24,0,9,48,19,24,0,9,48,2.49674e-11,2.49674e-11,2.50447160335992e-11,0.309667941392444
"21",0,50,6,18,26,0,50,6,18,26,2.42236e-11,2.42236e-11,2.21003786955271e-11,8.76509397642324
"22",59,19,0,22,0,59,19,0,22,0,1.7442e-11,1.7442e-11,1.76724681462174e-11,1.32134013425882
"23",34,32,0,0,34,34,32,0,0,34,2.38356e-11,2.38356e-11,2.19582997244433e-11,7.87603532345202
"24",3,0,0,23,74,3,0,0,23,74,2.59667e-11,2.59667e-11,3.05599818018677e-11,17.6891241546585
"25",22,32,9,0,37,22,32,9,0,37,2.41263e-11,2.41263e-11,2.27230347288278e-11,5.81633019224765
"26",26,22,0,20,32,26,22,0,20,32,2.40176e-11,2.40176e-11,2.30826303705315e-11,3.89285203129565
"27",0,78,12,0,10,0,78,12,0,10,2.07958e-11,2.07958e-11,1.81923929295058e-11,12.5189080030307
"28",14,0,26,11,49,14,0,26,11,49,2.50801e-11,2.50801e-11,2.60332987381456e-11,3.80061777323695
"29",57,0,0,21,22,57,0,0,21,22,2.30157e-11,2.30157e-11,2.13858423522256e-11,7.081503703013
"30",34,56,0,0,10,34,56,0,0,10,1.98539e-11,1.98539e-11,1.78314876770306e-11,10.1864738059996
"31",1,96,0,3,0,1,96,0,3,0,1.34836e-11,1.34836e-11,1.63835577766753e-11,21.50729609804
"32",22,16,36,21,5,22,16,36,21,5,2.00347e-11,2.00347e-11,1.94372296101267e-11,2.98217787076062
"33",0,0,0,0,100,0,0,0,0,100,2.94375e-11,2.94375e-11,3.33619250763499e-11,13.3313803018256
"34",19,63,18,0,0,19,63,18,0,0,1.35989e-11,1.35989e-11,1.65952193602589e-11,22.0335421266347
"35",14,43,27,0,16,14,43,27,0,16,2.16984e-11,2.16984e-11,1.95840095506002e-11,9.74445327489513
"36",0,5,95,0,0,0,5,95,0,0,1.63765e-11,1.63765e-11,1.85894780405099e-11,13.513131868897
"38",65,20,0,2,13,65,20,0,2,13,2.0783e-11,2.0783e-11,1.84428219760671e-11,11.2600588169797
"39",42,37,0,3,18,42,37,0,3,18,2.19228e-11,2.19228e-11,1.94124732509878e-11,11.4507578822607
"40",30,33,0,26,11,30,33,0,26,11,2.14766e-11,2.14766e-11,1.99018066705943e-11,7.33260073477955
"41",0,97,3,0,0,0,97,3,0,0,1.24955e-11,1.24955e-11,1.62433781365356e-11,29.9938228685175
"42",0,21,0,79,0,0,21,0,79,0,2.10756e-11,2.10756e-11,2.19153724199793e-11,3.9845718270384
"43",3,30,17,32,18,3,30,17,32,18,2.28113e-11,2.28113e-11,2.20191642767e-11,3.47255843945754
"46",9,15,17,8,51,9,15,17,8,51,2.51477e-11,2.51477e-11,2.59374649794181e-11,3.14050580935077
"47",16,0,0,40,44,16,0,0,40,44,2.4988e-11,2.4988e-11,2.66174969984843e-11,6.52111813064009
"48",0,0,0,100,0,0,0,0,100,0,2.2764e-11,2.2764e-11,2.34434540448505e-11,2.98477440190859
"49",34,0,28,0,38,34,0,28,0,38,2.42534e-11,2.42534e-11,2.33601321379028e-11,3.68306242463833
"50",30,42,19,0,9,30,42,19,0,9,1.98036e-11,1.98036e-11,1.8150515715812e-11,8.34739281841691
"51",10,2,60,21,7,10,2,60,21,7,2.0673e-11,2.0673e-11,2.04125304012271e-11,1.25995065434555
"52",38,28,10,23,1,38,28,10,23,1,1.83915e-11,1.83915e-11,1.82060993181564e-11,1.00807808957157
"53",5,33,7,17,38,5,33,7,17,38,2.44575e-11,2.44575e-11,2.41084476279678e-11,1.42717927847184
