"","Mean Absolute Error (s)","Mean Average Error (%)","Max Error (%)","MSE (s)","RMS Error","RMS","NRMSE"
"Dist. Euclid.",2.41259e-11,14.9928323627023,30.4051359299907,4.50180661982667e-22,2.81633618908799e-11,17.667766828784,0.180803155645889
"Correlação",2.41259e-11,14.9928323627023,30.4051359299907,4.50180661982667e-22,2.81633618908799e-11,17.667766828784,0.180803155645889
"PLS",1.71195107247953e-12,1.78115492294098,4.5095271393636,5.91977928081415e-24,2.33702951656389e-12,2.51765538000106,0.0207331526672783
