"","X40","X70","X100","X1.0","X1.1","X1.2","WorstCase","expectedDelayEucl","resultDelayEucl","abs(errorEucl)"
"1",4,4,2,4,4,2,5.21061e-12,5.21061e-12,4.92037e-12,5.57017316590571
"2",1,5,4,1,5,4,5.59794e-12,5.59794e-12,5.6438e-12,0.819229931010335
"3",1,0,9,1,0,9,5.92401e-12,5.92401e-12,6.56528e-12,10.8249310855316
"4",7,0,3,7,0,3,5.33085e-12,5.33085e-12,5.52601e-12,3.66095463200053
"5",6,4,0,6,4,0,4.28137e-12,4.28137e-12,4.1644e-12,2.7320694076896
"6",4,6,0,4,6,0,4.44162e-12,4.44162e-12,4.92037e-12,10.778724879661
"7",3,0,7,3,0,7,5.83911e-12,5.83911e-12,5.76355e-12,1.29403282349537
"8",0,0,10,0,0,10,6.56528e-12,6.56528e-12,5.92401e-12,9.76759559379036
"9",0,10,0,0,10,0,4.39545e-12,4.39545e-12,4.92039e-12,11.9428044910077
"11",5,0,5,5,0,5,5.6638e-12,5.6638e-12,5.52601e-12,2.43281895547159
"12",2,8,0,2,8,0,4.52768e-12,4.52768e-12,4.55289e-12,0.556797300162537
"16",0,9,1,0,9,1,4.92039e-12,4.92039e-12,4.39545e-12,10.6686665081426
"17",5,2,3,5,2,3,5.38496e-12,5.38496e-12,5.18087e-12,3.79000029712384
"18",10,0,0,10,0,0,3.46979e-12,3.46979e-12,3.98916e-12,14.9683410235202
"20",0,6,4,0,6,4,5.6438e-12,5.6438e-12,5.59794e-12,0.81257308905347
"21",0,8,2,0,8,2,5.24282e-12,5.24282e-12,4.92039e-12,6.14993457719318
"24",0,4,6,0,4,6,5.87719e-12,5.87719e-12,5.77247e-12,1.78180388927361
"27",4,5,1,4,5,1,4.92037e-12,4.92037e-12,5.21061e-12,5.89874338718428
"32",2,3,5,2,3,5,5.702e-12,5.702e-12,5.702e-12,0
"33",3,2,5,3,2,5,5.69111e-12,5.69111e-12,5.702e-12,0.191351072110701
"34",5,3,2,5,3,2,5.18087e-12,5.18087e-12,5.21061e-12,0.574034862870509
"35",6,0,4,6,0,4,5.52601e-12,5.52601e-12,5.33085e-12,3.53166208530206
"38",7,3,0,7,3,0,4.1644e-12,4.1644e-12,4.28137e-12,2.80880799154741
"43",0,1,9,0,1,9,6.03798e-12,6.03798e-12,5.92401e-12,1.8875517971242
"50",8,2,0,8,2,0,3.98916e-12,3.98916e-12,4.1644e-12,4.39290477193193
"53",8,0,2,8,0,2,5.03708e-12,5.03708e-12,5.33085e-12,5.83214878461331
"57",6,1,3,6,1,3,5.35178e-12,5.35178e-12,5.33085e-12,0.391084835325817
"59",1,9,0,1,9,0,4.55289e-12,4.55289e-12,4.39545e-12,3.4580233653789
"65",4,1,5,4,1,5,5.6769e-12,5.6769e-12,5.6638e-12,0.230759745635811
"68",2,4,4,2,4,4,5.58887e-12,5.58887e-12,5.59794e-12,0.162286830790492
"78",0,5,5,0,5,5,5.77247e-12,5.77247e-12,5.59794e-12,3.02348907833214
"80",3,7,0,3,7,0,4.49287e-12,4.49287e-12,4.44162e-12,1.14069625873884
"90",5,5,0,5,5,0,4.37011e-12,4.37011e-12,4.28137e-12,2.0306125017448
"91",0,3,7,0,3,7,5.95054e-12,5.95054e-12,5.87719e-12,1.23266123746752
"93",4,0,6,4,0,6,5.76355e-12,5.76355e-12,5.83911e-12,1.31099756226631
