"","Mean Absolute Error (s)","Mean Average Error (%)","Max Error (%)","MSE (s)","RMS Error","RMS","NRMSE"
"Dist. Euclid.",1.41153407407407e-13,8.86501921108509,67.4088239311569,6.51814758631111e-26,2.68458275431177e-13,18.2324460298148,0.142352888305684
"Correlação",1.66440111111111e-13,10.6398052948115,56.2976960534923,8.74730533509683e-26,2.94353492620504e-13,18.6882245720661,0.164907850782313
"PLS",2.13120929189957e-13,14.2980730067953,40.2814355689774,7.11034814989932e-26,2.56232115595654e-13,18.519782711193,0.148678996586078
