Extract results file for inv100
1.17093e-10
1.69777e-10
6.34795e-11
1.10299e-10
1.88760e-10
1.52283e-10
2.26639e-10
1.79400e-10
2.19859e-10
3.31375e-10
1.71978e-10
1.77086e-10
1.20871e-10
2.26595e-10
2.19350e-10
2.37338e-10
1.58276e-10
1.98923e-11
1.51079e-10
2.18126e-10
1.30966e-10
3.35175e-10
2.15502e-10
2.37944e-10
1.29523e-10
1.23444e-10
2.92880e-10
1.89270e-10
3.02764e-10
6.59774e-11
2.45707e-10
2.94573e-10
1.55559e-10
2.06307e-10
3.34221e-10
3.21239e-10
1.43348e-10
2.07418e-10
2.81525e-10
2.06307e-10
2.68104e-10
8.32325e-11
2.84101e-10
2.84330e-10
2.62837e-10
2.44585e-10
2.73605e-10
2.54706e-10
2.71033e-10
2.28979e-10
1.89636e-10
2.09901e-10
3.11270e-10
1.31200e-10
2.59964e-10
2.85176e-10
3.41938e-10
3.18888e-10
2.83614e-10
1.96370e-10
2.64186e-10
1.54062e-10
2.40778e-10
1.74637e-10
3.00880e-10
2.78480e-10
2.65243e-10
1.42187e-10
1.71468e-10
3.60841e-10
3.65959e-10
3.43769e-10
3.78034e-10
2.10198e-10
3.64162e-10
2.57655e-10
2.80391e-10
2.40525e-10
3.09905e-10
2.68620e-10
3.51896e-10
3.38351e-10
2.86468e-10
2.49185e-10
3.53885e-10
1.39073e-10
3.22974e-10
2.05597e-10
4.02547e-10
2.92783e-10
2.98077e-10
3.84053e-10
2.04988e-10
3.13577e-10
2.83789e-10
3.13288e-10
3.56754e-10
2.79820e-10
2.33262e-10
3.69216e-10
1.75138e-10
