"","Ton","Delay"
"1","0.10","0.00000000157"
"2","0.20","0.00000000158"
"3","0.30","0.00000000151"
"5","0.50","0.00000000153"
"6","0.60","0.00000000156"
"7","0.70","0.00000000151"
"9","0.90","0.00000000150"
"10","1.00","0.00000000154"
