"","Ton","Delay"
"1","0.10","4.60656121e-10"
"2","0.15","4.58945068e-10"
"3","0.26","4.55180751e-10"
"4","0.32","4.53127488e-10"
"5","0.38","4.51074224e-10"
"6","0.40","4.50389803e-10"
"7","0.50","4.46967697e-10"
"8","0.60","4.43545590e-10"
"9","0.65","4.41834537e-10"
"10","0.7","4.40123484e-10"
"11","0.8","4.38412431e-10"
"12","0.85","4.34990325e-10"













